Subsector ID,Subsector,Sector ID,Sector,Year,Companies,Number of Employees LCI
327,Fabricación de Productos a Base de Minerales no Metálicos,31-33,Industrias Manufactureras,2015,32680,77644
327,Fabricación de Productos a Base de Minerales no Metálicos,31-33,Industrias Manufactureras,2016,66507,179031
327,Fabricación de Productos a Base de Minerales no Metálicos,31-33,Industrias Manufactureras,2017,66814,186605
327,Fabricación de Productos a Base de Minerales no Metálicos,31-33,Industrias Manufactureras,2018,66947,191381
327,Fabricación de Productos a Base de Minerales no Metálicos,31-33,Industrias Manufactureras,2019,69154,196066
327,Fabricación de Productos a Base de Minerales no Metálicos,31-33,Industrias Manufactureras,2020,71614,196702
327,Fabricación de Productos a Base de Minerales no Metálicos,31-33,Industrias Manufactureras,2021,71559,190629
327,Fabricación de Productos a Base de Minerales no Metálicos,31-33,Industrias Manufactureras,2022,71632,190940
331,Industrias Metálicas Básicas,31-33,Industrias Manufactureras,2015,934,39813
331,Industrias Metálicas Básicas,31-33,Industrias Manufactureras,2016,2057,90683
331,Industrias Metálicas Básicas,31-33,Industrias Manufactureras,2017,2193,96690
331,Industrias Metálicas Básicas,31-33,Industrias Manufactureras,2018,2229,99037
331,Industrias Metálicas Básicas,31-33,Industrias Manufactureras,2019,2718,108099
331,Industrias Metálicas Básicas,31-33,Industrias Manufactureras,2020,2957,115190
331,Industrias Metálicas Básicas,31-33,Industrias Manufactureras,2021,3045,124201
331,Industrias Metálicas Básicas,31-33,Industrias Manufactureras,2022,3041,123168
332,Fabricación de Productos Metálicos,31-33,Industrias Manufactureras,2015,72527,161435
332,Fabricación de Productos Metálicos,31-33,Industrias Manufactureras,2016,148090,340716
332,Fabricación de Productos Metálicos,31-33,Industrias Manufactureras,2017,148430,346923
332,Fabricación de Productos Metálicos,31-33,Industrias Manufactureras,2018,148571,350488
332,Fabricación de Productos Metálicos,31-33,Industrias Manufactureras,2019,150123,368378
332,Fabricación de Productos Metálicos,31-33,Industrias Manufactureras,2020,148581,384617
332,Fabricación de Productos Metálicos,31-33,Industrias Manufactureras,2021,148936,391245
332,Fabricación de Productos Metálicos,31-33,Industrias Manufactureras,2022,149085,388448
333,Fabricación de Maquinaria y Equipo,31-33,Industrias Manufactureras,2015,2418,61647
333,Fabricación de Maquinaria y Equipo,31-33,Industrias Manufactureras,2016,5284,140200
333,Fabricación de Maquinaria y Equipo,31-33,Industrias Manufactureras,2017,5487,141306
333,Fabricación de Maquinaria y Equipo,31-33,Industrias Manufactureras,2018,5578,144222
333,Fabricación de Maquinaria y Equipo,31-33,Industrias Manufactureras,2019,6624,158262
333,Fabricación de Maquinaria y Equipo,31-33,Industrias Manufactureras,2020,6953,168764
333,Fabricación de Maquinaria y Equipo,31-33,Industrias Manufactureras,2021,7104,169664
333,Fabricación de Maquinaria y Equipo,31-33,Industrias Manufactureras,2022,7112,168909
334,"Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",31-33,Industrias Manufactureras,2015,766,80298
334,"Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",31-33,Industrias Manufactureras,2016,1724,164070
334,"Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",31-33,Industrias Manufactureras,2017,1861,171477
