State ID,State,Year,Sector ID,Sector,Investment
2,Baja California,1999,54,"Services Professionals, Scientists and Technicals",1.2732000350952148
2,Baja California,1999,56,Support Services to Business and Waste Management and Waste and Remediation Services,24.702268600463867
2,Baja California,1999,62,Health and Social Assistance Services,0.19332100450992584
2,Baja California,1999,71,"Leisure and Cultural Services, Sports, and other Recreational Services",19.53778648376465
2,Baja California,1999,72,Temporary Accommodation and Food Preparation and Drinks,211.66087341308594
2,Baja California,1999,81,Other Services except Government Activities,0.1439400017261505
2,Baja California,2000,11,"Agriculture, Animal Husbandry and Exploitation, Forestry, Fishing and Hunting",0.15037700533866882
2,Baja California,2000,23,Building,11.24299430847168
2,Baja California,2000,31-33,Manufacturing Industries,789.0863647460938
2,Baja California,2000,43,To the Wholesale Trade,13.621625900268555
2,Baja California,2000,46,Retail Trade,20.053815841674805
2,Baja California,2000,48-49,Transportation and Storage,12.344916313886642
2,Baja California,2000,51,Mass Media Information,-25.05103302001953
2,Baja California,2000,52,Financial and Insurance Services,51.916839599609375
2,Baja California,2000,53,Real Estate and Rental Services of Furniture and Intangible Assets,1.6763520240783691
2,Baja California,2000,54,"Services Professionals, Scientists and Technicals",0.03013000078499317
2,Baja California,2000,56,Support Services to Business and Waste Management and Waste and Remediation Services,4.43779993057251
2,Baja California,2000,62,Health and Social Assistance Services,-0.5140730142593384
2,Baja California,2000,72,Temporary Accommodation and Food Preparation and Drinks,164.68109130859375
2,Baja California,2001,11,"Agriculture, Animal Husbandry and Exploitation, Forestry, Fishing and Hunting",30.496227264404297
2,Baja California,2001,21,Mining,24.523948669433594
2,Baja California,2001,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",0.0014039999805390835
2,Baja California,2001,23,Building,4.1244730949401855
2,Baja California,2001,31-33,Manufacturing Industries,711.2220621109009
2,Baja California,2001,43,To the Wholesale Trade,46.637996673583984
2,Baja California,2001,46,Retail Trade,37.10439682006836
2,Baja California,2001,48-49,Transportation and Storage,-6.272719919681549
2,Baja California,2001,51,Mass Media Information,85.40208435058594
2,Baja California,2001,52,Financial and Insurance Services,298.9911193847656
2,Baja California,2001,53,Real Estate and Rental Services of Furniture and Intangible Assets,9.519869804382324
2,Baja California,2001,54,"Services Professionals, Scientists and Technicals",0.050742000341415405
2,Baja California,2001,56,Support Services to Business and Waste Management and Waste and Remediation Services,-2.1860721111297607
2,Baja California,2001,71,"Leisure and Cultural Services, Sports, and other Recreational Services",-2.5099198818206787
2,Baja California,2001,72,Temporary Accommodation and Food Preparation and Drinks,88.97042083740234
2,Baja California,2002,11,"Agriculture, Animal Husbandry and Exploitation, Forestry, Fishing and Hunting",0.16497699916362762
2,Baja California,2002,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",125.57964324951172
